Sr No.,Utterance,speaker,emotion,Sentiment,dialogue_id,Utterance_ID,Season,Episode,StartTime,EndTime,orig_dialogue_id,utterance_de_deepl
74,i was surprised to see a kangaroo in a world war i epic,Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929",6,"Ich war überrascht, ein Känguru in einem Epos über den Ersten Weltkrieg zu sehen."
75,you fell asleep,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931",6,Du bist eingeschlafen!!
76,there was no kangaroo,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809",6,Es gab kein Känguru!
77,they didn t take any of my suggestions,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196",6,Sie haben keinen meiner Vorschläge angenommen!
78,that s for coming buddy,Joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242",6,"Das ist fürs Kommen, Kumpel."
79,i ll see you later,Joey,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202",6,Ich sehe dich später!
80,don t go,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804",6,Gehen Sie nicht!
81,i m sorry,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526",6,Es tut mir so leid.
82,i m so sorry,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832",6,Es tut mir so leid!
83,look,Chandler,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407",6,Sieh mal!
84,this guy fell asleep,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589",6,Der Typ ist eingeschlafen!
85,he fell asleep too,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215",6,Er ist auch eingeschlafen!
86,be mad at him,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108",6,Seien Sie böse auf ihn!
87,or call an ambulance,Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244",6,"Oder, rufen Sie einen Krankenwagen."
88,okay look i think we have to tell rachel she messed up her dessert,Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897",7,"Okay, schau, ich denke, wir müssen Rachel sagen, dass sie ihren Nachtisch versaut hat."
89,what what is with everybody it s thanksgiving not truth-day,Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193",7,"Was?! Was ist mit euch allen los? Es ist Thanksgiving, nicht... der Tag der Wahrheit!"
90,yes and it is my dying wish to have that ring,Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951",8,"Ja, und es ist mein letzter Wunsch, diesen Ring zu bekommen."
91,see if i m not buried with that ring then my spirit is going to wander the nether world for all eternity,Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204",8,"Wenn ich nicht mit diesem Ring begraben werde, wird mein Geist für alle Ewigkeit in der Unterwelt umherwandern."
92,okay that s enough honey,Chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706",8,"Okay, das reicht, Schatz!"
93,i don t know let me see the ring,Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964",8,"Ich weiß nicht, was ich tun soll. Lass mich den Ring sehen."
94,great okay here,Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964",8,"Na toll. Okay, hier."
95,all right,Customer,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934",8,"Ja, gut."
96,thank you thank you thank you and,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074",8,Ich danke Ihnen. Ich danke Ihnen. Ich danke euch! Und
97,what ve you been up to,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738",9,Was hast du denn so getrieben?
98,oh you know the usual teaching aerobics partying way too much,Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203",9,"Oh, du weißt schon, das Übliche, Aerobic unterrichten, viel zu viel Party machen."
99,oh and in case you were wondering those are my legs on the new james bond poster,Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459",9,"Oh, und falls du dich wunderst, das sind meine Beine auf dem neuen James Bond Poster."
100,can you hold on a moment i have another call i love her,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758",9,Kannst du einen Moment dranbleiben? Ich habe noch einen Anruf. Ich liebe sie.
101,i know,Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758",9,"Ja, ich weiß."
102,i m back,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903",9,Ich bin wieder da.
103,so are we gonna get together or what,Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185",9,"Also, kommen wir jetzt zusammen oder was?"
104,um absolutely uh how bout tomorrow afternoon do you know uh central perk in the village say five-ish,Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561",9,"Ähm, auf jeden Fall. Äh, wie wär's mit morgen Nachmittag? Kennst du, äh, Central Perk im Village, sagen wir, so gegen fünf?"
105,great i ll see you then,Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647",9,"Großartig, wir sehen uns dann."
106,ok ok having a phone has finally paid off,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528",9,"Gut. Ok. Ein Telefon zu haben, hat sich endlich ausgezahlt."
107,even though you do do a good bob impression i m thinkin when she sees you tomorow she s probably gonna realize hey you re not bob,Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620",9,"Auch wenn du Bob gut imitierst, wenn sie dich morgen sieht, merkt sie: ""Du bist nicht Bob."""
108,i m hoping that when bob doesn t show up she will seek comfort in the open arms of the wry stranger at the next table,Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337",9,"Ich hoffe, dass sie, wenn Bob nicht auftaucht, Trost in den offenen Armen des schrägen Fremden am Nebentisch suchen wird."
109,oh my god you are pure evil,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299",9,"Oh, mein Gott. Du bist das pure Böse."
110,ok pure evil horny and alone i ve done this,Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058",9,"Ok, das reine Böse, geil und allein. Ich habe das getan."
111,nobody,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551",10,Niemand!
112,nobody respects the bucket,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947",10,Niemand hat Respekt vor dem Eimer!
113,you wouldn t believe what people put in here,Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721",10,"Du würdest nicht glauben, was die Leute hier reintun!"
114,look,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597",10,Sieh mal!
115,okay does this look like a garbage can to you,Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016",10,"Okay, sieht das aus wie ein Mülleimer für Sie?"
116,no,Monica,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016",10,Nein.
117,this is my wedding,Ross,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024",11,Dies ist meine Hochzeit.
118,all right y know what we really are late let s go let s go let s go,Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737",11,"Alles klar, weißt du was? Wir sind wirklich spät dran! Los geht's! Los geht's! Los geht's! Los geht's!!"
119,fine you ll-you ll watch it on video when we get back,Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491",11,"Na schön. Du wirst... du wirst es auf Video sehen, wenn wir zurückkommen."
120,here you go phoebe here you go phobo phewbedo phaybobo,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704",11,"Hier, bitte, Phoebe! Hier, bitte, Phobo! Puhbedo! Phaybobo."
121,thank you,Phoebe,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791",11,Ich danke euch.
122,thank you,Phoebe,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931",11,Ich danke euch.
123,all right let s go bye pheebs,Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463",11,"Alles klar, los geht's! Bye, Pheebs!"
124,bye pheebs,Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340",11,"Bye, Pheebs!"
125,london baby,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554",11,London Baby!!
126,oh do you need a hug you don t have to bring me anything,Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563",11,"Oh, brauchen Sie eine Umarmung? Sie müssen nicht, mir etwas zu bringen!"
127,hey,Chandler,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045",12,Hey!
128,hey so estelle lined up a bunch of auditions for me tomorrow and i ll have my health insurance back in no time,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177",12,"Hey! Estelle hat mir für morgen ein paar Vorsprechen besorgt, und ich bin wieder krankenversichert."
129,that s great but shouldn t you be on the toilet right now,Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890",12,"Das ist toll, aber solltest du nicht gerade auf der Toilette sein?"
130,what,Joey,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647",12,Was?!
131,what s wrong with you,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929",12,Was ist denn mit dir los?
132,nothing,Joey,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023",12,Gar nichts!
133,well i-i got this blinding pain in my stomach when i was lifting weights before then i uh passed out and uh haven t been able to stand up since,Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575",12,"Nun, ich... ich bekam diesen blendenden Schmerz in meinem Bauch, als ich vorhin Gewichte gestemmt habe, dann wurde ich ohnmächtig und äh, konnte seitdem nicht mehr aufstehen."
134,but um i don t think it s anything serious,Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536",12,"Aber ähm, ich denke nicht, dass es etwas Ernstes ist."
135,this sounds like a hernia you have to-you-you go to the doctor,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706",12,Das klingt wie ein Leistenbruch. Du musst... du... du musst zum Arzt gehen!
136,no way kay look if i have to go to the doctor for anything it s gonna be for this thing sticking out of my stomach,Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463",12,"Auf keinen Fall! Wenn ich wegen irgendwas zum Arzt muss, dann wegen diesem Ding, das aus meinem Bauch ragt!"
137,that s a hernia,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009",12,Das ist ein Leistenbruch.
138,why did i have to start working out again damn you 15s,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556",12,"Warum musste ich wieder anfangen zu trainieren? Verdammt, ihr 15er!"
139,i love your place where is this guy from,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930",13,Ich liebe deinen Platz! Woher kommt der Typ?
140,uh that s an eighteenth century indian artifact from calcutta,Ross,neutral,neutral,13,1,8,8,"00:10:41,098","00:10:50,899",13,"Äh, das ist ein indisches Artefakt aus dem 18. Jahrhundert aus Kalkutta."
141,oh wow so you re more than just dinosaurs,Mona,surprise,positive,13,2,8,8,"00:10:44,894","00:10:50,899",13,"Oh, wow! Also, ihr seid mehr als nur Dinosaurier."
142,so much more,Ross,neutral,neutral,13,3,8,8,"00:10:51,567","00:10:53,485",13,So viel mehr.
143,well well to sum up we re having fun you look young,Ross,neutral,neutral,14,0,8,11,"00:13:42,112","00:13:53,456",14,"Nun, um es zusammenzufassen, wir haben Spaß, du siehst jung aus."
144,okay,Mona,neutral,neutral,14,1,8,11,"00:13:57,253","00:14:00,171",14,Okay
145,but that s not enough so so here s a key to my apartment,Ross,neutral,neutral,14,2,8,11,"00:13:57,253","00:14:06,135",14,"Aber das ist nicht genug. Also, hier ist ein Schlüssel zu meiner Wohnung."
146,really,Mona,surprise,positive,14,3,8,11,"0:14:12,184","0:14:14,986",14,Wirklich?!
147,really,Ross,neutral,neutral,14,4,8,11,"0:14:14,986","0:14:15,320",14,Wirklich?!
148,you don t think this is too fast,Mona,neutral,neutral,14,5,8,11,"00:14:16,897","00:14:20,316",14,"Du denkst doch nicht, dass das zu schnell ist."
149,get out,Ross,anger,negative,15,0,9,23,"00:42:09,652","00:42:13,488",15,Raus hier!
150,ross can i talk to you for a minute,Charlie,neutral,neutral,15,1,9,23,"00:42:15,032","00:42:16,908",15,"Ross, kann ich mal kurz mit dir reden?"
151,yes please so what s going on,Ross,neutral,neutral,15,2,9,23,"00:42:17,117","00:42:23,998",15,"Ja, bitte! Also, was ist denn hier los?"
152,uh well joey and i broke up,Charlie,sadness,negative,15,3,9,23,"00:42:26,126","00:42:29,754",15,"Äh, na ja... Joey und ich haben uns getrennt."
153,oh my god wh-what happened,Ross,surprise,negative,15,4,9,23,"00:42:30,464","00:42:35,885",15,"Oh, mein Gott, was ist denn passiert?"
154,joey is a great guy but we re just so different i mean during your speech he kept laughing at homo erectus,Charlie,sadness,negative,15,5,9,23,"00:42:36,053","00:42:44,561",15,"Joey ist ein toller Kerl, aber wir sind einfach... so verschieden! Ich meine, während deiner Rede hat er immer wieder über den Homo erectus gelacht!"
155,i knew that was him,Ross,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561",15,"Ich wusste, dass er das war!"
156,anyway i just uh i think it s for the best,Charlie,sadness,negative,15,7,9,23,"00:42:46,313","00:42:50,108",15,"Wie auch immer, ich denke, es ist das Beste."
157,hey you ok,Ross,neutral,neutral,15,8,9,23,"0:42:51,068","0:42:52,950",15,"Hey, bist du ok?"
158,i guess,Charlie,sadness,negative,15,9,9,23,"0:42:52,950","0:42:55,208",15,Ich denke schon.
159,there was hum there was another reason that i thought it was time to end it with joey,Charlie,neutral,neutral,15,10,9,23,"00:42:57,866","00:43:05,915",15,"Es gab noch einen anderen Grund, warum ich dachte, es wäre Zeit, mit Joey Schluss zu machen."
160,i started to realize that i was having feelings for someone else,Charlie,neutral,neutral,15,11,9,23,"00:43:06,667","00:43:12,547",15,"Ich fing an zu merken, dass ich Gefühle für jemand anderen hatte."
161,ok geller last day of the conference you know what happens to the keynote speaker,Paleontologist,neutral,neutral,15,12,9,23,"00:43:14,174","00:43:19,220",15,"Ok, Geller. Letzter Tag der Konferenz, Sie wissen, was passiert mit dem Hauptredner."
162,oh professor clerk we re kind of in the middle of a conversation here,Ross,neutral,neutral,15,13,9,23,"00:43:19,388","00:43:22,765",15,"Oh, Professor Clerk wir sind irgendwie in der Mitte eines Gesprächs, hier."
163,yeah can you guys just throw him in the pool later,Charlie,neutral,neutral,15,14,9,23,"0:43:22,933","0:43:24,905",15,"Ja, könnt ihr ihn später einfach in den Pool werfen?"
164,or we could throw you both in,Professore Clerk,joy,positive,15,15,9,23,"0:43:24,905","0:43:27,073",15,Oder wir könnten Sie beide in den Pool werfen.
165,ok gentlemen,Ross,anger,negative,15,16,9,23,"0:43:27,187","0:43:28,147",15,"Ok, meine Herren!"
166,please,Ross,anger,negative,15,17,9,23,"0:43:28,147","0:43:28,699",15,Bitte!
167,aren t we a little old for this,Ross,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985",15,Sind wir nicht etwas zu alt für so was?
168,i mean we re scientists right,Ross,neutral,neutral,15,19,9,23,"0:43:31,066","0:43:32,788",15,"Ich meine, wir sind Wissenschaftler, richtig?"
169,we re academics,Ross,anger,negative,15,20,9,23,"0:43:32,788","0:43:33,798",15,Wir sind Akademiker.
170,and most importantly i you-you will have to catch us first,Ross,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780",15,"Und am wichtigsten ist, dass ich... Sie... Sie müssen uns erst mal fangen."
172,go go go,Ross,joy,positive,15,22,9,23,"00:43:37,948","00:43:40,366",15,"GO, GO, GO!"
173,go go go,Ross,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239",16,"GO, GO, GO!"
174,oh yeah now everybody wants to be under this hat,Rachel,joy,positive,16,1,3,25,"00:04:42,407","00:04:44,574",16,"Oh ja, jetzt will jeder unter diesen Hut!"
175,oy,Phoebe,disgust,negative,16,2,3,25,"00:04:49,455","00:04:50,747",16,Oy!!
176,what s with all this sand,Monica,surprise,negative,16,3,3,25,"00:04:52,333","00:04:54,001",16,Was ist mit dem ganzen Sand hier?
177,oh yeah bob said there might be flood damage,Phoebe,neutral,neutral,16,4,3,25,"00:04:54,168","00:04:56,795",16,"Oh, ja, Bob sagte, es könnte einen Flutschaden geben."
178,yeah either that or he has a really big cat,Ross,neutral,neutral,16,5,3,25,"00:04:57,005","00:04:59,214",16,"Ja, entweder das, oder er hat eine wirklich große Katze."
179,okay see that blind guy right there i m gonna bash his head in later,Joey,anger,negative,17,0,5,19,"00:06:15,416","00:06:19,127",17,"Okay, siehst du den blinden Kerl da drüben? Ich werde ihm später den Kopf einschlagen."
180,oh umm my big scene is coming up big scene coming up,Joey,joy,positive,17,1,5,19,"00:06:21,506","00:06:25,542",17,"Oh, ähm, meine große Szene kommt noch. Große Szene kommt."
181,if you said big lima bean bubbling up would she understand the difference,Chandler,neutral,neutral,17,2,5,19,"00:06:25,551","00:06:29,012",17,"Wenn du sagen würdest: ""Große Limabohne, sprudelnd."" Würde sie den Unterschied verstehen?"
182,rach what are you doing,Monica,neutral,neutral,17,3,5,19,"00:06:32,183","00:06:33,517",17,Rach? Was machst du denn da?
